value,report_period_begin,region_name,report_period_end
12,2022-01-01,Белгородская область,2022-02-01
1193,2022-01-01,Республика Татарстан,2022-09-01
442,2022-01-01,Удмуртская Республика,2022-09-01
61,2022-01-01,Волгоградская область,2022-02-01
82,2022-01-01,Пермский край,2022-02-01
62,2022-01-01,Ямало-Ненецкий АО,2022-04-01
7,2022-01-01,Республика Бурятия,2022-02-01
153,2022-01-01,Московская область,2022-02-01
14,2022-01-01,Республика Дагестан,2022-02-01
83,2022-01-01,Ставропольский край,2022-02-01
7,2022-01-01,Мурманская область,2022-02-01
28,2022-01-01,Амурская область,2022-02-01
16,2022-01-01,Астраханская область,2022-02-01
75,2022-01-01,Омская область,2022-02-01
5,2022-01-01,Брянская область,2022-02-01
15,2022-01-01,Орловская область,2022-02-01
7,2022-01-01,Владимирская область,2022-02-01
20,2022-01-01,Псковская область,2022-02-01
32,2022-01-01,Вологодская область,2022-02-01
160,2022-01-01,Республика Крым,2022-04-01
1,2022-01-01,Ненецкий АО,2022-04-01
66,2022-01-01,Ивановская область,2022-04-01
196,2022-01-01,Ханты-Мансийский АО,2022-04-01
41,2022-01-01,Тверская область,2022-04-01
369,2022-01-01,Кемеровская область-Кузбасс,2022-04-01
97,2022-01-01,Архангельская область,2022-04-01
15,2022-01-01,Кабардино-Балкарская Респ.,2022-02-01
15,2022-01-01,Новгородская  область,2022-02-01
1,2022-01-01,Республика Алтай,2022-02-01
26,2022-01-01,Новосибирская область,2022-02-01
12,2022-01-01,Республика Карелия,2022-02-01
67,2022-01-01,Оренбургская область,2022-02-01
40,2022-01-01,Пензенская область,2022-02-01
9,2022-01-01,Республика Мордовия,2022-02-01
98,2022-01-01,Ростовская область,2022-02-01
9,2022-01-01,Карачаево-Черкесская Респ.,2022-02-01
3,2022-01-01,Рязанская область,2022-02-01
6,2022-01-01,Республика Тыва,2022-02-01
16,2022-01-01,Калининградская область,2022-04-01
36,2022-01-01,Псковская область,2022-04-01
71,2022-01-01,Калужская область,2022-04-01
28,2022-01-01,Рязанская область,2022-04-01
112,2022-01-01,Кировская область,2022-04-01
248,2022-01-01,Тюменская область,2022-04-01
0,2022-01-01,Республика Калмыкия,2022-02-01
33,2022-01-01,Республика Коми,2022-02-01
16,2022-01-01,Республика Марий Эл,2022-02-01
5,2022-01-01,Республика Сев. Осетия-Алания,2022-02-01
244,2022-01-01,Республика Татарстан,2022-02-01
55,2022-01-01,Удмуртская Республика,2022-02-01
420,2022-01-01,Ростовская область,2022-04-01
44,2022-01-01,Республика Карелия,2022-04-01
126,2022-01-01,Саратовская область,2022-04-01
46,2022-01-01,Сахалинская область,2022-04-01
24,2022-01-01,Республика Мордовия,2022-04-01
53,2022-01-01,Костромская область,2022-04-01
685,2022-01-01,Свердловская область,2022-04-01
280,2022-01-01,Алтайский край,2022-04-01
300,2022-01-01,Самарская область,2022-04-01
740,2022-01-01,Краснодарский край,2022-04-01
249,2022-01-01,Ставропольский край,2022-04-01
58,2022-01-01,Амурская область,2022-04-01
799,2022-01-01,Сибирский ФО,2022-02-01
30,2022-01-01,Белгородская область,2022-04-01
86,2022-01-01,Республика Коми,2022-04-01
24,2022-01-01,Республика Марий Эл,2022-04-01
48,2022-01-01,Республика Сев. Осетия-Алания,2022-04-01
90,2022-01-01,Смоленская область,2022-04-01
